"Freq"	"Normalized_Count"	"Log_Count"
"ENSMUSG00000078485.3"	1	873.787151208475	9.77278822014707
"ENSMUSG00000078495.10"	1	612.819517638039	9.26167070972694
"ENSMUSG00000079084.10"	2	1297.04808923814	10.3421281170132
"ENSMUSG00000079339.7"	1	2348.70870213392	11.198266198884
"ENSMUSG00000079429.9"	2	135.028029310076	7.08776014698675
"ENSMUSG00000079543.3"	2	32.4586608918453	5.06430780077307
"ENSMUSG00000079941.1"	2	37.6520466345405	5.27247290208609
"ENSMUSG00000080006.4"	1	38.9503930702143	5.32013779272545
"ENSMUSG00000080059.4"	4	33.7570073275191	5.1192319624362
"ENSMUSG00000080775.1"	2	28.5636215848238	4.88575110734934
"ENSMUSG00000080776.1"	3	349.255191196255	8.45226262303637
"ENSMUSG00000080811.1"	1	12.9834643567381	3.80564992277629
"ENSMUSG00000080877.1"	4	85.6908647544715	6.43780806909803
"ENSMUSG00000081049.1"	4	728.372350413008	9.51051169973376
"ENSMUSG00000081051.4"	2	1093.20769883735	10.0956708963227
"ENSMUSG00000081076.3"	3	55.8288967339739	5.82855280232526
"ENSMUSG00000081087.1"	2	362.238655552993	8.50477393096936
"ENSMUSG00000081094.4"	1	455.719598921508	8.83516489028621
"ENSMUSG00000081159.1"	1	32.4586608918453	5.06430780077307
"ENSMUSG00000081214.3"	1	24.6685822778024	4.68193171034621
"ENSMUSG00000081281.1"	1	58.4255896053215	5.89301240717293
"ENSMUSG00000081400.1"	8	201.243697529441	7.65995093478007
"ENSMUSG00000081453.1"	5	189.558579608376	7.57409075452312
"ENSMUSG00000081559.3"	1	24.6685822778024	4.68193171034621
"ENSMUSG00000081603.1"	2	171.381729508943	7.42946306313645
"ENSMUSG00000081715.1"	1	14.2818107924119	3.93374359810719
"ENSMUSG00000081752.3"	1	38.9503930702143	5.32013779272545
"ENSMUSG00000081906.2"	1	11.6851179210643	3.66506502566832
"ENSMUSG00000082088.1"	1	105.166061289579	6.73017883506407
"ENSMUSG00000082128.1"	1	11.6851179210643	3.66506502566832
"ENSMUSG00000082286.10"	7	506.355109912786	8.98685206713641
"ENSMUSG00000082289.1"	1	6.49173217836906	2.90529932565609
"ENSMUSG00000082319.3"	7	263.564326441784	8.04747473311774
"ENSMUSG00000082423.1"	1	19.4751965351072	4.3558053948056
"ENSMUSG00000082454.3"	11	412.874166544272	8.69304839011483
"ENSMUSG00000082536.1"	12	1908.5692604405	10.8990315323952
"ENSMUSG00000082575.1"	8	158.398265152205	7.31649211728422
"ENSMUSG00000082820.3"	1	7.79007861404287	3.13587606816534
"ENSMUSG00000083261.4"	1	38.9503930702143	5.32013779272545
"ENSMUSG00000083337.1"	1	127.237950696034	7.00267946560524
"ENSMUSG00000083454.1"	1	15.5801572280857	4.05138578272851
"ENSMUSG00000083483.3"	1	7.79007861404287	3.13587606816534
"ENSMUSG00000083621.1"	2	514.145188526829	9.00883528857035
"ENSMUSG00000083716.4"	3	855.610301109042	9.7424952161393
"ENSMUSG00000083757.2"	4	32.4586608918453	5.06430780077307
