"","Naive_Control_Rep_1","Naive_Control_Rep_2","Naive_Control_Rep_3","Naive_DEX_Rep_1","Naive_DEX_Rep_2","Naive_DEX_Rep_3"
"ENSMUSG00000000902.13",834.595733949059,926.005213278085,899.793105111797,873.87690897012,866.86658879022,824.44998665287
"ENSMUSG00000000903.3",1.56878897358846,1.66998235036625,5.42588807102591,7.57423106366301,2.6469208818022,9.08842504971668
"ENSMUSG00000000915.15",1194.63280338761,1232.44697457029,1183.74791416215,1057.55201226395,1159.35134622936,1156.82667418537
"ENSMUSG00000000916.15",274.53807037798,464.255093401817,323.744654904546,298.235348131731,377.186225656813,371.32708060271
"ENSMUSG00000000934.9",114.521595071957,158.648323284794,159.15938341676,114.560244837903,111.170677035692,131.132990003055
"ENSMUSG00000000957.11",9.41273384153074,238.807476102373,34.3639577831641,20.8291354250733,15.8815252908132,2.59669287134762
"ENSMUSG00000000958.10",11.7659173019134,21.7097705547612,37.9812164971814,26.5098087228205,14.5580648499121,19.4751965351072
"ENSMUSG00000000959.7",1112.27138227422,1105.52831594246,928.731174823935,1007.37273146718,980.684186707714,1068.53911655955
"ENSMUSG00000000976.13",734.193239639398,704.732551854557,728.877630874481,688.308247910376,782.165120572549,756.935971997832
"ENSMUSG00000000982.5",0.784394486794229,15.8648323284794,9.04314678504319,17.9887987761996,21.1753670544176,16.8785036637595
"ENSMUSG00000001016.12",1218.16463799144,1270.02157745353,1289.55273154716,1193.88817140988,1228.17128915622,1191.88202794856
"ENSMUSG00000001017.15",4299.26618211917,3858.49422052122,3687.79525894061,3946.17438416843,3986.26284799411,3956.0615894981
"ENSMUSG00000001018.15",891.856531485038,835.826166358307,756.911385908115,693.042142325165,652.465997364242,662.156682193644
"ENSMUSG00000001020.8",6.27515589435383,9.18490292701436,7.23451742803455,8.52100994662089,7.94076264540659,12.9834643567381
"ENSMUSG00000001025.8",145.112980056932,106.043879248257,137.455831132656,124.028033667482,141.610267176418,132.431336438729
"ENSMUSG00000001027.7",0.784394486794229,2.50497352554937,9.04314678504319,4.73389441478938,6.61730220450549,1.29834643567381
"ENSMUSG00000001029.15",1156.19747353469,960.239851460593,1094.22076099023,1239.33355779186,1179.20325284288,1094.50604527302
"ENSMUSG00000001034.17",416.513472487735,386.600914109786,419.602010826004,394.806794193434,449.976549906374,441.437788129096
"ENSMUSG00000001036.17",2.35318346038269,7.51492057664812,8.13883210653887,13.2549043614103,7.94076264540659,12.9834643567381
"ENSMUSG00000001039.12",1.56878897358846,2.50497352554937,1.80862935700864,0,5.2938417636044,3.89503930702143
"ENSMUSG00000001052.15",1771.94714566816,1919.644711746,1503.87531035268,1738.28602911066,1551.09563673609,1622.93304459226
"ENSMUSG00000001053.15",217.277272842001,145.288464481864,171.819788915821,194.089671006365,238.222879362198,179.171808122986
"ENSMUSG00000001054.9",1015.79086039853,870.060804540815,965.808076642612,909.854506522519,974.066884503209,853.013608237694
"ENSMUSG00000001056.3",796.944798582936,683.857772474979,762.337273979141,729.966518760522,825.839315122286,729.670696848682
"ENSMUSG00000001062.18",312.189005744103,376.581020007589,316.510137476512,304.862800312436,299.102059643648,336.271726839517
"ENSMUSG00000001065.15",393.766032370703,392.445852336068,432.262416325064,377.764774300193,522.766874155934,449.227866743139
"ENSMUSG00000001082.12",298.854299468601,348.191320051363,311.98856408399,234.801162973553,414.243118002044,280.442830105543
"ENSMUSG00000001089.14",134.915851728607,144.45347330668,114.847964170048,140.123274677766,113.817597917495,159.696611587879
"ENSMUSG00000001098.15",926.369888903984,730.617278285234,812.074581296878,996.958163754644,1065.38565492538,975.058173191032
"ENSMUSG00000001100.10",510.640810903043,419.165569941928,491.947185106349,452.560306053865,492.327284015209,431.051016643705
"ENSMUSG00000001105.15",374.156170200847,358.21121415356,340.022319117624,376.817995417235,382.480067420418,381.713852088101
"ENSMUSG00000001120.15",50.9856416416249,66.7992940146499,66.9192862093196,67.2213006900092,64.8495616041538,41.547085941562
"ENSMUSG00000001123.15",2764.20617146286,2026.52358216944,2297.86359807947,2409.55225712779,2550.30826961642,2178.62531906066
"ENSMUSG00000001127.12",1544.47274449784,2584.29768719177,1956.03264960484,1672.95828618657,1802.5531205073,1957.90642499611
"ENSMUSG00000001128.7",43.9260912604768,85.1690998686787,78.6753770298757,70.0616373388828,103.229914390286,102.569368418231
"ENSMUSG00000001134.9",165.507236713582,129.423632153384,152.82918066723,132.549043614103,156.16833202633,127.237950696034
"ENSMUSG00000001138.13",665.9509192883,589.503769679286,636.63753366704,635.288630464735,636.584472073429,654.366603579601
"ENSMUSG00000001143.13",199.236199645734,198.727899693584,182.671565057872,335.159724567088,299.102059643648,323.288262482779
"ENSMUSG00000001150.7",1554.66987282616,1636.58270335892,1778.78697261799,1557.45126246571,1461.10032675481,1668.37516984085
"ENSMUSG00000001151.10",1623.69658766405,1634.07772983337,1710.96337173017,1516.73977049852,1449.1891827867,1578.78926577935
"ENSMUSG00000001156.9",530.250673072899,605.368602007765,567.909618100712,587.949686316841,551.883003855758,632.294714173146
"ENSMUSG00000001157.13",799.297982043319,658.808037219485,691.800729055804,697.776036739955,767.607055722637,750.444239819463
"ENSMUSG00000001158.13",538.879012427635,380.755975883505,426.836528254038,467.708768181191,442.035787260967,444.034481000444
